"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://appleroof.com/","text/html; charset=UTF-8","200","OK","Indexable","","Apple Roofing | Roofing Repairs | Roof Replacements - Shingle, Metal, Tile, Cedar, Solar","88","769","Need roof repairs or replacement? Apple Roofing is here to help! We offer quick assessments and fast scheduling. Contact us for a free estimate!","144","888","","0","Need Your Roof Repaired or Replaced?","36","We've Got You Covered!","22","Quality to the Core","19","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/","","","","","","240705","49133","49133","18.822","","863","180","4.794","71.000","Fairly Easy","3.114","0","0","","834","394","0","100.000","147","78","0","8","7","0","","","","","8da46e2dd226aece282ef1cdd301e0d7","0.015","","","","","en-US","1.1","68","4351.000","4351.000","5626.000","5633.500","0.000","0.001","87431","450","58","809317","50062","1","236187","12","174072","37","11531","2","337465","6","0","0","0","0","71100","12","","","","","","0","0","0","0","450","87431","0","0","109.825","Good","310.434","Good","808822","0","Avoids redirects","Server responds quickly (observed 10 ms)","Applies text compression","","4 resources found","11916","","606","364","2 resources found","963","20760","0","0","","0","2 resources found","100","","","100","","","","","","https://appleroof.com/","2026-04-11 23:49:22"
"https://appleroof.com/steep-slope/","text/html; charset=UTF-8","200","OK","Indexable","","Multi-Family Steep Slope Roofing | Apple Roofing","48","434","Steep Slope Roofing Ensure your investment is protected with our expert multi-family roofing services. The Right Products for Steep-Slope Roofing If your apartment or condo building has steep-slope roofing, you need a company skilled in choosing the right materials for such a roof. The multi-family roofing pros at Apple Roofing…","330","2026","","0","Steep Slope Roofing","19","The Right Products for Steep-Slope Roofing","42","Highly Reviewed Commercial Roofing Contractors","46","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/steep-slope/","","","","","","164674","35914","35914","13.758","","391","58","6.741","62.382","Normal","2.858","1","1","","806","394","0","100.000","124","55","0","7","6","0","","","","","832fa0b2bd96f863e1591c3a36783c80","4.718","","","","","en-US","1.1","70","4545.000","4989.360","4876.000","4876.000","0.000","0.000","87517","600","52","659066","36850","1","80644","8","166581","34","11531","2","363460","7","0","0","0","0","96113","9","","","","","","0","0","0","0","600","87517","0","0","105.220","Good","322.066","Good","659066","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","4 resources found","12592","","483","31","","577","18114","93","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/steep-slope/","2026-04-11 23:49:22"
"https://appleroof.com/request-bid-for-commercial-roofing-project/","text/html; charset=UTF-8","200","OK","Indexable","","Request a Commercial Roofing Bid | Apple Roofing","48","448","Request a free bid for your commercial roofing project. Apple Roofing provides competitive pricing, quality service & solutions tailored to your business!","154","927","","0","Bid Request","11","Request a Bid for Your Commercial Roofing Project","49","Call or come by one of our offices. We will be happy to assist.","63","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/request-bid-for-commercial-roofing-project/","","","","","","160017","35418","35418","13.568","","434","90","4.822","50.284","Fairly Hard","3.218","1","1","","807","394","0","100.000","122","53","0","8","7","0","","","","","27db29f2331a8cecdd535d9643900eb5","4.723","","","","","en-US","1.1","71","3751.000","13132.008","3901.000","3901.000","0.000","0.003","87468","450","48","554921","36360","1","13563","9","156002","30","11531","2","337465","6","0","0","0","0","70217","9","","","","","","0","0","0","0","450","87468","0","0","109.502","Good","428.950","Good","554822","0","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","4 resources found","11193","","8344","31","1 resource found","624","0","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/request-bid-for-commercial-roofing-project/","2026-04-11 23:49:22"
"https://appleroof.com/options-materials/wood-shake-roofing/","text/html; charset=UTF-8","200","OK","Indexable","","Wood Shake Roofing - Cedar Shake Roof Repair & Installation Near Me - Apple Roofing","83","763","Looking for a wood shake roofing contractor near you? Apple Roofing provides cedar shake roof installation, repair, restoration, and maintenance for residential properties. Get expert guidance, clear options, and a professional inspection—schedule your free consultation today.","277","1704","","0","Wood Shake Roofing","18","What Is Wood Shake Roofing?","27","Request a Free Roof Quote","25","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/options-materials/wood-shake-roofing/","","","","","","227819","46019","46019","17.629","","1807","266","6.793","48.952","Hard","6.344","1","2","","792","394","0","100.000","130","55","0","9","8","0","","","","","15ad0ec57c5388ea6f0e64e1a662436e","4.925","","","","","en-US","1.1","71","2401.005","11414.575","4576.010","4583.510","0.000","0.013","87219","450","56","668550","47523","1","81259","9","181259","37","21050","3","337459","6","0","0","0","0","70310","10","","","","","","0","0","0","0","450","87219","0","0","124.487","Good","397.247","Good","668352","0","Avoids redirects","Server responds quickly (observed 18 ms)","Applies text compression","1 issue found","4 resources found","11203","","7531","31","1 resource found","1066","24789","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/options-materials/wood-shake-roofing/","2026-04-11 23:49:22"
"https://appleroof.com/commercial-roofing/new-commercial-construction/","text/html; charset=UTF-8","200","OK","Indexable","","New Commercial Construction Roofing Company Near me | Apple Roofing","67","656","Need expert commercial roofing for new construction projects? Apple Roofing delivers custom roofing systems with premium materials and Master Elite certification. Contact us for your free estimate today.","203","1265","","0","New Commercial Construction","27","Features","8","Benefits","8","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/commercial-roofing/new-commercial-construction/","","","","","","167145","36425","36425","13.954","","308","49","6.286","36.749","Hard","2.644","1","2","","803","394","0","100.000","113","52","0","7","6","0","","","","","9f4b96ca6d28c2d0f7b5f3bb1941874b","4.921","","","","","en-US","1.1","69","4051.019","10531.674","4201.019","4201.019","0.000","0.004","87355","450","48","605121","37277","1","3322","5","160689","32","11531","2","392302","8","0","0","0","0","70117","8","","","","","","0","0","0","0","450","87355","0","0","78.109","Good","293.800","Good","605121","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","2 resources found","12008","","6378","31","2 resources found","635","0","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/commercial-roofing/new-commercial-construction/","2026-04-11 23:49:22"
"https://appleroof.com/maintenance/","text/html; charset=UTF-8","200","OK","Indexable","","Roof Maintenance Services | Prevent Costly Repairs with Apple Roofing","69","632","Extend your roof’s life and prevent costly damage with Apple Roofing’s expert maintenance programs. Schedule inspections, sealing, and warranty checks today.","157","991","","0","Roofing Maintenance Services","28","Protect Your Home with Preventive Roofing Maintenance","53","Comprehensive Roof Repair and Maintenance Services","50","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/maintenance/","","","","","","177825","38736","38736","14.839","","925","175","5.286","52.757","Fairly Hard","4.747","1","1","","818","394","0","100.000","123","59","0","12","11","0","","","","","714163ff95707f725a1eee9ddacf6ef7","4.919","","","","","en-US","1.1","68","4051.000","14487.470","4276.000","4283.500","0.000","0.001","87518","300","50","614658","39672","1","59262","7","166731","34","11531","2","337462","6","0","0","0","0","70115","8","","","","","","0","0","0","0","300","87518","0","0","131.492","Good","494.552","Good","614658","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","4 resources found","11284","","9139","31","1 resource found","823","14045","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/maintenance/","2026-04-11 23:49:22"
"https://appleroof.com/sherman-branch/","text/html; charset=UTF-8","200","OK","Indexable","","Top Roofing Company in Sherman, TX | Roof Replacement | Roof Repair | Siding, Windows & Gutters | Apple Roofing","111","1022","Are you facing roof issues in Sherman? Apple Roofing offers expert repair and replacement tailored to local weather. Schedule your free inspection today!","153","941","","0","LOCAL ROOFING COMPANY in Sherman, Texas","39","Sherman, TX","11","Protect Your Home in Sherman with a Roof That Lasts","51","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/sherman-branch/","","","","","","245159","49789","49789","19.073","","1003","184","5.451","67.950","Normal","3.449","1","1","","15","9","0","2.280","136","55","0","12","11","0","","","","","334762f618f2765926ac7dbe817a42f3","8.953","","","","","en-US","1.1","69","4051.002","13159.274","4051.002","4051.002","0.000","0.050","87328","450","61","1301150","50727","1","659781","10","184243","39","11531","2","394868","9","0","0","0","0","113628","11","","","","","","0","0","0","0","450","87328","0","0","116.320","Good","444.824","Good","1301051","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","2 resources found","12789","","8328","31","1 resource found","1021","138757","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/sherman-branch/","2026-04-11 23:49:27"
"https://appleroof.com/options-materials/hail-damage-roof-repair/","text/html; charset=UTF-8","200","OK","Indexable","","Hail Damage Roof Repair - Storm & Hail Roofers Near Me - Apple Roofing","70","646","Need a hail damage roof repair contractor near you? Apple Roofing provides professional hail damage inspections, roof repairs, and full roof replacement after severe storms. Get clear answers, expert guidance, and a free roof inspection—schedule your free consultation today.","275","1699","","0","Hail Damage Roof Repair","23","Why Hail Damage Roof Repair Matters","35","Request a Free Roof Quote","25","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/options-materials/hail-damage-roof-repair/","","","","","","244986","48859","48859","18.717","","2262","334","6.772","54.548","Fairly Hard","6.989","1","2","","792","394","0","100.000","139","57","0","10","9","0","","","","","d061e51a8f07134255aaf2b0ed20a2ed","9.114","","","","","en-US","1.1","70","3901.000","12434.901","4051.000","4051.000","0.000","0.002","87218","450","55","614333","49803","1","34017","9","181520","37","11531","2","337462","6","0","0","0","0","70313","10","","","","","","0","0","0","0","450","87218","0","0","128.162","Good","412.225","Good","614135","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","4 resources found","12553","","7829","31","1 resource found","1154","0","0","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/options-materials/hail-damage-roof-repair/","2026-04-11 23:49:27"
"https://appleroof.com/dallas/","text/html; charset=UTF-8","200","OK","Indexable","","Roofers in Dallas - Roof Repair, Replacement, Installation & Storm Damage Restoration Service Near Me - Siding, Windows & Gutters - Apple Roofing","145","1311","Looking for a reliable roofing company in Dallas? Apple Roofing offers expert roof repair, roof replacement, new installation, emergency tarping, and storm and wind damage service, plus commercial and multi‑family roofing, gutters, siding, and window services across Dallas and the DFW Metroplex. Contact us today at (469) 908-4323 to schedule your free roof inspection or get a fast quote!","390","2407","","0","Roofing Contractor Dallas TX - Residential & Commercial Roofers - Apple Roofing","79","Dallas, TX","10","Expert Roofing Professionals in Dallas","38","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/dallas/","","","","","","278677","58852","58852","22.545","","2849","429","6.641","47.731","Hard","7.787","1","1","","53","34","0","8.630","191","79","0","24","23","0","","","","","efc390f33b00d41b39fd39476f5fcd8f","9.115","","","","","en-US","1.1","69","4051.000","13380.600","4126.000","4133.500","0.000","0.022","87443","300","61","1324727","59842","1","659783","10","186431","39","11531","2","407140","9","0","0","0","0","139892","12","","","","","","0","0","0","0","300","87443","0","0","269.976","Good","805.321","Good","1324628","0","Avoids redirects","Server responds quickly (observed 8 ms)","Applies text compression","","2 resources found","13429","","8484","31","1 resource found","1316","138757","77","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/dallas/","2026-04-11 23:49:27"
"https://appleroof.com/big-lake-mn/","text/html; charset=UTF-8","200","OK","Indexable","","Roofers in Big Lake, MN - Roof Repair, Replacement & Storm Damage Restoration Service Near Me - Siding, Windows & Gutters - Apple Roofing","137","1264","Looking for a trusted roofing company near you in Big Lake, MN? Apple Roofing delivers professional residential and commercial roof repair, roof replacement, new roof installation, storm damage restoration, roof inspection, emergency roofing, siding, gutter, window services and more. Contact us today for a free estimate and schedule your expert roofing service now!","367","2266","","0","Top Rated Roofing Contractor in Big Lake, MN","44","Local Roofing Built for Big Lake Winters and Storm Seasons","58","Our Process for Big Lake Roofing Projects","41","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://appleroof.com/big-lake-mn/","","","","","","233272","48927","48927","18.743","","2264","342","6.620","51.020","Fairly Hard","7.458","1","1","","9","4","0","1.020","185","77","0","16","15","0","","","","","5f6b30d88c36f7a3c1069b5c564f7fbb","9.522","","","","","en-US","1.1","69","4051.000","12147.483","4051.000","4051.000","0.000","0.050","87478","450","59","1296383","50401","1","659682","9","184381","38","21050","3","380869","8","0","0","0","0","113522","10","","","","","","0","0","0","0","450","87478","0","0","251.538","Good","785.744","Good","1296383","0","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","2 resources found","12638","","7617","31","1 resource found","1104","138757","44","0","","0","1 resource found","100","","","100","","","","","","https://appleroof.com/big-lake-mn/","2026-04-11 23:49:27"
