"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"apple roofing","820","1","3,600","$2.69","0.22","-2%","2,900","4,400","4,400","4,400","4,400","4,400","3,600","3,600","2,900","2,900","2,400","3,600"
"roof repair cost","720","3","9,900","$2.32","0.33","-29%","8,100","12,100","9,900","9,900","9,900","6,600","6,600","9,900","12,100","12,100","6,600","6,600"
"fix leaking roof","300","1","49,500","$2.96","0.5","-4%","40,500","60,500","49,500","49,500","60,500","49,500","49,500","60,500","49,500","49,500","49,500","49,500"
"how to repair a roof leak","88","1","5,400","$1.63","0.83","-11%","5,400","6,600","5,400","5,400","4,400","4,400","4,400","5,400","4,400","4,400","4,400","4,400"
"how to seal leaky roof","52","1","390","$0.31","1","-22%","390","480","390","480","480","390","320","390","390","480","390","320"
"apple roofing lincoln ne","49","1","260","$2.61","0.34","-42%","210","320","320","320","390","320","480","390","260","170","140","170"
"roof leak repair diy","29","1","390","$0.48","0.59","-51%","170","1,600","210","210","170","590","170","170","170","210","320","170"
"roofers blue springs mo","28","2","170","$1.75","0.4","-74%","110","720","720","90","110","110","50","110","70","40","110","50"
"roof replacement timeline","27","1","70","$3.49","0.21","-37%","140","110","110","110","70","70","70","50","50","40","70","50"
"how to fix a small leak in roof","27","1","90","$2.15","0.95","-18%","90","90","110","70","110","70","70","110","90","90","50","70"
"how to fix a leaky roof","26","1","5,400","$1.63","0.83","-11%","5,400","6,600","5,400","5,400","4,400","4,400","4,400","5,400","4,400","4,400","4,400","4,400"
"how to repair leak in roof","26","1","5,400","$1.63","0.83","-11%","5,400","6,600","5,400","5,400","4,400","4,400","4,400","5,400","4,400","4,400","4,400","4,400"
"commercial roofing","21","61","40,500","$8.26","0.19","-51%","49,500","49,500","40,500","49,500","27,100","27,100","40,500","33,100","22,200","49,500","33,100","18,100"
"roof repair lakewood co","20","3","260","$3.84","0.08","16%","320","320","320","210","170","110","210","480","320","260","260","320"
"melt ice dam on roof","20","3","590","$0.24","0.98","303%","2,400","210","70","70","50","30","50","50","70","140","1,600","2,400"
"how much to fix leaky roof","17","4","0","$0.00","0","","","","","","","","","","","","",""
